"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","stateNumberCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","hash","lastRefresh","id","fips","beginyear"
"DR-1866-AL",1866,"AL","DR",2009-12-22 20:30:00,2010,"Hurricane","TROPICAL STORM IDA",0,0,1,1,2009-11-09 05:00:00,2009-11-11 04:59:00,2019-07-09 03:59:00,1,3,99003,"Baldwin (County)",9123,"cd2e517c5af075e89a71ade5eb8f6277",2020-10-05 14:21:55,"5f7b2c0331a8c6681cfd1e44",1003,2009
"DR-1866-AL",1866,"AL","DR",2009-12-22 20:30:00,2010,"Hurricane","TROPICAL STORM IDA",0,0,1,1,2009-11-09 05:00:00,2009-11-11 04:59:00,2019-07-09 03:59:00,1,97,99097,"Mobile (County)",9123,"17c80d70ce7e563f5728f4d20ede1b32",2020-10-05 14:21:55,"5f7b2c0331a8c6681cfd1e46",1097,2009
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,115,99115,"Dawson (County)",10088,"142a35bd73f6a5a46721fb0b3c09253c",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a22",48115,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,101,99101,"Cottle (County)",10088,"6725e77a7a64058173bf56bb560ecac3",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a42",48101,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,169,99169,"Garza (County)",10088,"61c0cb3a562c561bedd90a191ae51b86",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a45",48169,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,153,99153,"Floyd (County)",10088,"25cde1528902eb4bf31b4171c0097aaa",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a46",48153,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,155,99155,"Foard (County)",10088,"7cb2af95fb1cfafcc5275bfd6aa78d47",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a4a",48155,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,57,99057,"Calhoun (County)",10088,"42be6302e112e7bc4962ee6bf53cdb1e",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a51",48057,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,249,99249,"Jim Wells (County)",10088,"1f6e1e43aad786c0a8190b73b015e16b",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a53",48249,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,489,99489,"Willacy (County)",10088,"e1811d02d5e900389ff4e9fbb9609880",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a62",48489,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,445,99445,"Terry (County)",10088,"059f1aa096245611d314c18d02e15f7a",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a6a",48445,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,305,99305,"Lynn (County)",10088,"cccbc8240f8831d69a7eb98fce6a75db",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a7a",48305,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,345,99345,"Motley (County)",10088,"bad27e515a66562303d89af6334c955a",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a7c",48345,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,0,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,465,99465,"Val Verde (County)",10088,"07acc592f53fe2b9a80de5def2b3f820",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a83",48465,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,247,99247,"Jim Hogg (County)",10088,"53373e7d53b38813529257a51e282e1e",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a86",48247,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,61,99061,"Cameron (County)",10088,"bc1a93cffc601c090acdefb949a6a947",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a96",48061,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",0,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,279,99279,"Lamb (County)",10088,"d7bcaf07a02caaeca5d97740d89ff7bf",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3a9a",48279,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,427,99427,"Starr (County)",10088,"64455c842aafb4c8ed45f470399f3298",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3aac",48427,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,303,99303,"Lubbock (County)",10088,"8a23732d9f7053c9b2f09913fd62a069",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3aae",48303,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,479,99479,"Webb (County)",10088,"9e16dc8f2e55b9aee0ed4f1f05b5199e",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3ab0",48479,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,215,99215,"Hidalgo (County)",10088,"6d6a21c7693a4451eee62c939c5a1e06",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3ab7",48215,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,505,99505,"Zapata (County)",10088,"15807121762263507001ec3f8cd11c9a",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3aca",48505,2010
"DR-1931-TX",1931,"TX","DR",2010-08-04 00:00:00,2010,"Hurricane","HURRICANE ALEX",1,0,1,1,2010-06-30 04:00:00,2010-08-14 04:00:00,2020-05-02 03:59:00,48,323,99323,"Maverick (County)",10088,"ebb7350be8e981eaf13d02d8c1eca4b1",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3ae3",48323,2010
"DR-1939-VI",1939,"VI","DR",2010-09-28 22:00:00,2010,"Hurricane","HURRICANE EARL",0,0,1,1,2010-08-29 04:00:00,2010-09-01 03:59:00,NA,78,10,99010,"St. Croix (Island) (County-equivalent)",10108,"c84b99c7be411e2e412860e314c40594",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3df8",78010,2010
"DR-1939-VI",1939,"VI","DR",2010-09-28 22:00:00,2010,"Hurricane","HURRICANE EARL",0,0,1,1,2010-08-29 04:00:00,2010-09-01 03:59:00,NA,78,20,99020,"St. John (Island) (County-equivalent)",10108,"f09612536a3ad2095c519dc4620b1663",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3e1b",78020,2010
"DR-1939-VI",1939,"VI","DR",2010-09-28 22:00:00,2010,"Hurricane","HURRICANE EARL",0,0,1,1,2010-08-29 04:00:00,2010-09-01 03:59:00,NA,78,30,99030,"St. Thomas (Island) (County-equivalent)",10108,"91611ace66f50c9239755e793041f844",2020-10-05 14:21:57,"5f7b2c0531a8c6681cfd3e26",78030,2010
"EM-3313-TX",3313,"TX","EM",2010-06-29 23:30:00,2010,"Hurricane","TROPICAL STORM ALEX",0,0,1,0,2010-06-27 04:00:00,2010-08-14 04:00:00,2012-10-04 04:00:00,48,7,99007,"Aransas (County)",10071,"1bf6b0bc77233a3bd4c27c1770df51b2",2020-10-05 14:22:14,"5f7b2c1631a8c6681cfe5cda",48007,2010
"EM-3313-TX",3313,"TX","EM",2010-06-29 23:30:00,2010,"Hurricane","TROPICAL STORM ALEX",0,0,1,0,2010-06-27 04:00:00,2010-08-14 04:00:00,2012-10-04 04:00:00,48,25,99025,"Bee (County)",10071,"78ff9e0cde4d4dacd2a51fa5f62f8e46",2020-10-05 14:22:14,"5f7b2c1631a8c6681cfe5ce3",48025,2010
